               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,             0.01849,            0.013021,                   0,              0.7237,                 0.8,             0.93786,             0.59224,           0.0076722,           0.0037482,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.019764,            0.013929,                   0,             0.72855,                   1,             0.92833,             0.48757,           0.0089699,           0.0037539,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.022702,            0.014084,                   0,             0.87643,                   1,             0.96773,             0.52598,           0.0092791,           0.0038364,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024465,            0.012871,                   0,             0.99855,                   1,               0.995,             0.58529,           0.0087396,           0.0039554,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.021029,            0.014078,                   0,             0.95914,                   1,               0.995,              0.5869,           0.0078733,            0.003999,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021507,            0.012769,                   0,             0.89581,                   1,               0.995,             0.52108,            0.010166,           0.0038555,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.02401,            0.013654,                   0,             0.90417,             0.94588,             0.98591,             0.63709,           0.0068576,           0.0040505,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022249,            0.012549,                   0,             0.82135,             0.92088,             0.97833,             0.62175,           0.0074033,           0.0039582,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.020035,            0.012855,                   0,             0.90245,              0.9269,             0.98591,             0.64238,           0.0070028,           0.0038943,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.019055,            0.013075,                   0,             0.90111,              0.9122,             0.98591,              0.6094,           0.0082938,           0.0037909,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.023644,            0.012033,                   0,             0.89323,             0.83905,             0.95643,             0.33345,            0.014523,           0.0033495,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.02476,            0.013771,                   0,             0.76438,                 0.9,              0.9275,              0.4245,            0.012067,           0.0033455,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.026225,            0.013577,                   0,             0.75451,             0.92347,             0.94192,             0.58065,           0.0079475,           0.0034225,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019892,            0.013074,                   0,             0.81373,                 0.9,             0.95192,             0.49773,            0.010512,            0.003366,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.023501,            0.014388,                   0,             0.86041,                 0.9,             0.94833,              0.5475,           0.0095262,           0.0035238,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,              0.0223,            0.012563,                   0,             0.90737,             0.98102,             0.94045,             0.53545,           0.0078756,           0.0037799,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.023888,            0.013714,                   0,              0.7579,              0.9411,             0.92041,             0.52179,           0.0091388,           0.0037916,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.018266,            0.011952,                   0,             0.76468,             0.97632,             0.91635,             0.58256,           0.0074508,           0.0040448,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.020999,            0.015403,                   0,             0.84983,                 0.9,             0.91833,             0.56732,           0.0075539,           0.0037301,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,             0.01994,            0.012863,                   0,             0.85239,                   1,             0.94045,             0.58198,           0.0088064,           0.0036337,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.021745,            0.012213,                   0,             0.90276,             0.93041,             0.97682,             0.42455,           0.0097921,           0.0036108,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021626,            0.012607,                   0,             0.88255,                   1,               0.995,             0.58501,           0.0079477,           0.0038078,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.023931,            0.013292,                   0,             0.92672,                   1,               0.995,             0.57358,            0.006842,           0.0038741,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024557,            0.015372,                   0,              0.9535,                   1,               0.995,             0.60883,           0.0070245,           0.0037863,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.02203,            0.013507,                   0,             0.88693,                   1,             0.97682,             0.61567,           0.0084964,           0.0036497,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.016956,            0.012777,                   0,             0.89896,             0.89066,             0.97682,             0.60599,           0.0070618,           0.0037787,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.022527,            0.013583,                   0,              0.8966,             0.86938,             0.95643,             0.57244,           0.0066348,           0.0038078,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,             0.01625,            0.012816,                   0,             0.89669,             0.87019,             0.96773,             0.59874,           0.0067949,           0.0037212,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.020283,            0.011292,                   0,             0.89052,             0.81465,             0.95864,             0.65704,           0.0070748,           0.0035739,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.024125,            0.012668,                   0,             0.89619,             0.86575,             0.94192,             0.66447,           0.0067388,           0.0035021,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.017819,            0.011813,                   0,             0.89751,             0.87756,             0.93192,             0.66958,            0.006729,           0.0034151,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.019389,            0.012895,                   0,             0.89037,                   1,             0.96773,             0.66375,           0.0072842,             0.00335,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.020542,             0.01283,                   0,             0.90785,              0.9864,             0.98591,             0.69855,            0.006935,             0.00332,                   0,           0.0050995,           0.0050995,           0.0050995
